,words,occurences
913,broadcast,206961
914,cast,206443
915,separate,206414
916,winter,206337
917,prime,206304
918,saint,205814
919,camp,205806
920,male,205352
921,administrative,205317
922,surface,204985
923,carried,204923
924,influence,204896
925,husband,204883
926,subject,204623
927,creek,204386
928,baseball,204149
929,assistant,204061
930,response,203893
931,problems,203722
932,remaining,203180
933,heart,202943
934,fifth,201670
935,oil,201642
936,producer,201547
937,month,201090
938,friend,201017
939,done,200916
940,joseph,200711
941,proposed,200385
942,spain,200359
943,branch,200229
944,silver,199884
945,greater,199876
946,turned,199761
947,nearby,199683
948,champion,199624
949,cost,199550
950,plans,199510
951,meaning,199449
952,jewish,199253
953,appears,199036
954,nations,199023
955,heavy,198909
956,critical,198865
957,god,198463
958,mr,198412
959,males,198384
960,minor,198314
961,acquired,198147
962,russia,197975
963,view,197742
964,parents,197686
965,distribution,197601
966,multiple,197431
967,poland,196949
968,miles,196655
969,graduated,196473
970,attempt,196091
971,spring,195575
972,border,195505
973,promoted,195305
974,louis,195163
975,enough,194772
976,females,194139
977,territory,193860
978,appearances,193723
979,digital,193640
980,hockey,193589
981,politician,193490
982,article,193412
983,responsible,193343
984,hotel,193317
985,constructed,193192
986,queen,193184
987,transport,193023
988,conditions,192911
989,vote,192874
990,lives,192642
991,albums,192544
992,ships,192327
993,might,192325
994,prize,192139
995,academic,191987
996,specific,191911
997,whether,191806
998,residents,191780
999,households,191519
1000,projects,191311
1001,ice,191165
1002,regiment,191117
1003,corps,190841
1004,authority,190450
1005,yet,190090
1006,numbers,190005
1007,housing,189655
1008,managed,189544
1009,cause,189466
1010,face,189407
1011,stories,189358
1012,daily,189043
1013,lies,188756
1014,direct,188428
1015,asked,188407
1016,serve,188272
1017,primarily,188103
1018,campus,187941
1019,leave,187874
1020,call,187870
1021,arrived,187719
1022,rule,187389
1023,brothers,187338
1024,ministry,187217
1025,elements,187169
1026,tower,187106
1027,makes,186761
1028,discovered,186607
1029,computer,186584
1030,master,186565
1031,facilities,186354
1032,inside,186353
1033,extended,186262
1034,told,186164
1035,rugby,186120
1036,reception,185925
1037,whole,185889
1038,median,185305
1039,dutch,185301
1040,covered,185190
1041,allow,185067
1042,journal,184955
1043,physical,184939
1044,martin,184880
1045,mayor,184653
1046,levels,184623
1047,wanted,183702
1048,directly,183522
1049,description,183462
1050,function,182912
1051,newspaper,182884
1052,pass,182763
1053,estate,182660
1054,issued,182556
1055,officers,182514
1056,value,182493
1057,latin,182378
1058,latter,182363
1059,literature,181890
1060,contemporary,181738
1061,recently,181547
1062,secondary,181520
1063,growth,181364
1064,speed,181046
1065,global,181000
1066,flight,180844
1067,drama,180682
1068,words,180415
1069,britain,180397
1070,commander,180133
1071,idea,180007
1072,races,179525
1073,shortly,179316
1074,marine,179300
1075,formerly,179273
1076,formation,179263
1077,transferred,179117
1078,immediately,178915
1079,highly,178873
1080,label,178702
1081,likely,178334
1082,saying,178066
1083,senate,177804
1084,prominent,177693
1085,republican,177617
1086,wall,177147
1087,scene,177084
1088,officially,176824
1089,earth,176749
1090,corporation,176722
1091,references,176171
1092,percent,176169
1093,typically,175940
1094,dead,175604
1095,settlement,175552
1096,beach,175520
1097,scotland,175506
1098,effects,175482
1099,peace,175368
1100,reserve,175287
1101,soldiers,174881
1102,agreement,174861
1103,renamed,174710
1104,treatment,174551
1105,sources,174538
1106,voice,174522
1107,produce,174464
1108,moving,174434
1109,naval,174179
1110,dark,174163
1111,participated,173995
1112,workers,173793
1113,initial,173789
1114,urban,173777
1115,smaller,173763
1116,hot,173367
1117,code,173338
1118,host,173269
1119,appear,173244
1120,quickly,172876
1121,emperor,172763
1122,commonly,172756
1123,industrial,172678
1124,grew,172572
1125,candidate,171869
1126,types,171668
1127,quality,171555
1128,asian,171504
1129,paper,171497
1130,racing,171483
1131,avenue,171330
1132,lack,171133
1133,divided,171091
1134,continue,170959
1135,basis,170900
1136,lee,170880
1137,boston,170852
1138,ohio,170591
1139,wing,170426
1140,footballer,170385
1141,clubs,170372
1142,leadership,170119
1143,probably,169755
1144,editor,169749
1145,poor,169705
1146,comes,169231
1147,alongside,169213
1148,activity,169181
1149,jersey,168375
1150,format,168331
1151,intended,168248
1152,true,168226
1153,politics,167994
1154,memorial,167393
1155,metal,167319
1156,judge,167246
1157,affairs,167183
1158,languages,167073
1159,rules,166955
1160,software,166885
1161,farm,166878
1162,ordered,166771
1163,cut,166710
1164,dedicated,166603
1165,conducted,166471
1166,revealed,166341
1167,follows,166161
1168,efforts,165776
1169,acting,165704
1170,focus,165550
1171,super,165146
1172,combined,165014
1173,michigan,164998
1174,operating,164982
1175,fleet,164867
1176,winner,164849
1177,planned,164849
1178,capacity,164766
1179,removed,164378
1180,scottish,164272
1181,mass,164183
1182,opera,164092
1183,scientific,163888
1184,architecture,163708
1185,prison,163690
1186,positive,163472
1187,leaders,163390
1188,register,163338
1189,advanced,163333
1190,grade,163316
1191,keep,163281
1192,meet,163142
1193,communities,163126
1194,entertainment,162992
1195,equipment,162936
1196,job,162890
1197,purchased,162838
1198,potential,162616
1199,girl,162446
1200,economy,162391
1201,featuring,162353
1202,crew,161831
1203,reach,161828
1204,method,161607
1205,giving,161363
1206,direction,161277
1207,jack,161147
1208,environment,161041
1209,solo,161040
1210,relations,160568
1211,widely,160459
1212,product,160297
1213,squadron,160262
1214,offers,160163
1215,asia,160128
1216,letter,160114
1217,mount,160055
1218,store,159925
1219,assigned,159853
1220,stop,159712
1221,infantry,159703
1222,needed,159611
1223,headquarters,159534
1224,trial,159447
1225,destroyed,159151
1226,attention,159151
1227,drive,159136
1228,protection,159117
1229,coming,158838
1230,exchange,158757
1231,compared,158720
1232,episodes,158679
1233,ability,158574
1234,concept,158517
1235,leaves,158491
1236,build,158359
1237,defeat,158335
1238,charge,158324
1239,analysis,158257
1240,except,158159
1241,forward,158117
1242,largely,158114
1243,cars,158080
1244,comedy,157875
1245,join,157771
1246,adopted,157635
1247,serves,157576
1248,website,157487
1249,technical,157299
1250,agency,157185
1251,roles,157089
1252,gas,157041
1253,double,156918
1254,gained,156679
1255,distance,156549
1256,approach,156435
1257,clear,156184
1258,morning,156034
1259,amount,155901
1260,georgia,155785
1261,guitar,155503
1262,reviews,155478
1263,champions,155456
1264,supreme,155321
1265,hold,155054
1266,floor,154999
1267,estimated,154893
1268,polish,154762
1269,golden,154581
1270,blood,154285
1271,accepted,154260
1272,models,154245
1273,captured,153818
1274,actress,153682
1275,sydney,153610
1276,railroad,153425
1277,firm,153373
1278,actually,153371
1279,respectively,153317
1280,heritage,153310
1281,safety,153307
1282,alone,153275
1283,travel,152976
1284,agreed,152899
1285,tax,152893
1286,declared,152848
1287,applied,152423
1288,iron,152243
1289,density,152239
1290,problem,152138
1291,figure,152014
1292,cricket,151906
1293,notes,151843
1294,sun,151744
1295,principal,151672
1296,block,151590
1297,israel,151210
1298,things,151144
1299,wood,151109
1300,impact,151047
1301,situated,151034
1302,hard,150922
1303,fighting,150853
1304,sales,150579
1305,fell,150561
1306,pressure,150500
1307,know,150296
1308,positions,150146
1309,suffered,150102
1310,mixed,150096
1311,premier,150089
1312,frank,149851
1313,teaching,149847
1314,joint,149820
1315,fish,149808
1316,titles,149605
1317,sons,149520
1318,illinois,149517
1319,climate,149461
1320,independence,149396
1321,knowledge,149389
1322,traffic,149339
1323,bus,149318
1324,plants,149294
1325,feet,149291
1326,difficult,149290
1327,mountains,149226
1328,duke,149180
1329,tree,149162
1330,account,149067
1331,parties,149033
1332,pay,149004
1333,olympic,148989
1334,arms,148668
1335,deputy,148621
1336,occurred,148579
1337,girls,148545
1338,geography,148510
1339,remain,148468
1340,content,148416
1341,rose,148389
1342,creation,148379
1343,yards,148216
1344,platform,148206
1345,presence,148016
1346,performances,148000
1347,draft,147842
1348,resources,147774
1349,iran,147642
1350,growing,147579
1351,resulted,147422
1352,representatives,147001
1353,hosted,146888
1354,continues,146832
1355,draw,146683
1356,teacher,146646
1357,titled,146606
1358,expanded,146540
1359,sites,146525
1360,mentioned,146225
1361,critics,146161
1362,spread,146054
1363,table,145844
1364,scoring,145396
1365,guard,145157
1366,twice,144665
1367,concert,144630
1368,victoria,144624
1369,ball,144574
1370,providing,144502
1371,municipal,144492
1372,taught,144478
1373,damage,144412
1374,opposition,144206
1375,expected,144195
1376,household,144095
1377,rail,144042
1378,districts,143879
1379,zone,143271
1380,revolution,143155
1381,text,143147
1382,younger,143054
1383,becomes,143047
1384,windows,143029
1385,electric,142956
1386,nominated,142916
1387,bar,142823
1388,surrounding,142746
1389,origin,142743
1390,fine,142723
1391,garden,142588
1392,lady,142558
1393,votes,142491
1394,basic,142484
1395,reports,142464
1396,identified,142401
1397,liberal,142381
1398,boy,142329
1399,facility,142210
1400,share,142185
1401,pop,142148
1402,versions,141951
1403,offer,141812
1404,unique,141809
1405,birth,141686
1406,note,141524
1407,reduced,141245
1408,kept,141176
1409,claims,141167
1410,painting,141129
1411,buried,141082
1412,sciences,141050
1413,paid,140981
1414,says,140977
1415,disease,140669
1416,deep,140525
1417,felt,140498
1418,representative,140488
1419,box,140461
1420,ranked,140362
1421,losing,140354
1422,nation,140332
1423,granted,140331
1424,returning,140307
1425,resulting,140186
1426,simply,140138
1427,split,140134
1428,learning,140055
1429,beyond,139830
1430,classes,139806
1431,medicine,139775
1432,reading,139695
1433,image,139680
1434,trains,139536
1435,owner,139518
1436,officials,139259
1437,grant,139090
1438,goes,139040
1439,something,139032
1440,tells,138564
1441,berlin,138521
1442,environmental,138518
1443,machine,138485
1444,jazz,138455
1445,freedom,138381
1446,regions,138373
1447,showed,138370
1448,laws,138320
1449,newly,137680
1450,fields,137648
1451,doctor,137602
1452,performing,137574
1453,receive,137297
1454,promotion,137296
1455,suggested,137276
1456,sport,137260
1457,cell,137101
1458,constitution,136888
1459,cemetery,136571
1460,develop,136449
1461,materials,136438
1462,tried,136429
1463,mile,136331
1464,sixth,136228
1465,planning,136165
1466,subsequent,136155
1467,gives,135944
1468,villages,135891
1469,founder,135867
1470,labour,135861
1471,obtained,135800
1472,horse,135699
1473,theme,135683
1474,designated,135515
1475,finish,135362
1476,price,135243
1477,effort,135202
1478,cannot,134873
1479,tradition,134783
1480,publication,134675
1481,brigade,134515
1482,inspired,134324
1483,seats,134244
1484,swedish,134096
1485,purpose,134028
1486,allows,133990
1487,authorities,133835
1488,palace,133768
1489,attacks,133741
1490,succeeded,133709
1491,completely,133677
1492,alternative,133580
1493,cancer,133510
1494,imperial,133326
1495,internet,133277
1496,fame,133183
1497,letters,133095
1498,murder,133003
1499,connected,132956
1500,rome,132917
1501,achieved,132814
1502,crime,132798
1503,ontario,132769
1504,funding,132648
1505,lieutenant,132577
1506,begins,132538
1507,chosen,132504
1508,fully,132258
1509,toronto,132254
1510,pakistan,132222
1511,squad,132215
1512,literary,132196
1513,interview,132188
1514,atlantic,132165
1515,animals,132062
1516,cells,132020
1517,generation,131808
1518,boys,131764
1519,figures,131762
1520,situation,131757
1521,couple,131678
1522,existing,131535
1523,confirmed,131418
1524,category,131313
1525,conservative,131214
1526,challenge,131161
1527,defined,131140
1528,armed,131120
1529,legislative,130912
1530,brazil,130748
1531,convention,130722
1532,relatively,130554
1533,falls,130365
1534,bronze,130270
1535,volume,130220
1536,injury,130116
1537,classical,130098
1538,examples,130065
1539,educational,129958
1540,billion,129757
1541,bring,129681
1542,reason,129581
1543,visit,129578
1544,korea,129527
1545,read,129509
1546,marked,129397
1547,religion,129307
1548,classic,129219
1549,supply,129175
1550,allowing,129111
